input_chunk_length,output_chunk_length,hidden_size,MAPE
50,17,458,1.5600850076141737
46,23,505,1.5020857554319071
21,8,270,1.206051582772263
87,21,462,1.3768441818666861
74,6,459,1.243783408222587
73,11,469,0.9359039024985488
11,6,189,0.43685760598609635
96,24,512,1.6579716521666845
96,24,512,1.6579716521666845
31,16,373,1.201119445338075
75,20,236,1.4926856737523917
96,24,512,1.6579716521666845
96,8,512,1.5020030616301778
96,21,512,1.3335034631736769
17,9,244,0.7802003876716785
11,6,189,0.43685760598609635
11,2,104,0.3075041644925664
11,3,68,0.33270885428191205
19,7,227,0.5869771873281078
12,3,135,0.5574444716946224
11,2,108,0.8447658497136387
16,5,180,0.4649529936222037
17,6,206,1.2400753718457804
11,4,152,0.44173511197754334
11,2,104,0.3075041644925664
11,2,104,0.3075041644925664
13,3,135,1.4838877540884483
11,1,97,0.5974141128699229
11,4,148,0.3697022119550576
11,2,104,0.3075041644925664
18,4,182,0.6183133386096231
11,2,106,0.487597941508117
11,2,120,0.5562772544009472
11,2,104,0.3075041644925664
11,2,104,0.3075041644925664
15,3,154,0.49031954887389123
12,2,110,0.6771851635984844
11,1,92,0.34939504164162477
11,2,104,0.3075041644925664
11,2,104,0.3075041644925664
12,2,124,0.5098253671738013
11,1,85,0.6930117329667227
11,2,105,0.3677418782839415
11,2,105,0.3677418782839415
13,2,122,0.8623353497299028
15,4,172,1.6439588534037963
11,2,104,0.3075041644925664
11,2,104,0.3075041644925664
11,2,104,0.3075041644925664
11,2,104,0.3075041644925664
11,2,104,0.3075041644925664
